Blanked,Mean,Max,Min,StdDev
-1,179.63906282424927,351.83203125,-23.350780487060547,96.162809978011438
feat=0_stripe=0,105.33498449325562,311.70623779296875,-79.779685974121094,83.652743031072191
feat=0_stripe=1,217.36748435974121,367.57186889648438,-57.635936737060547,95.610670546317635
feat=0_stripe=2,197.43006259918212,412.63906860351562,-19.917186737060547,102.75725248522085
feat=10_stripe=0,115.55224945068359,316.2421875,-47.832813262939453,89.033056568272471
feat=10_stripe=1,187.09781270980835,361.69375610351562,-110.98281097412109,106.6056743059335
feat=10_stripe=2,213.94782695770263,386.11093139648438,24.669530868530273,97.574860991741701
feat=10_stripe=3,203.79565697669983,363.93829345703125,-35.03125,106.28446534257604
feat=10_stripe=4,167.76714124679566,354.52969360351562,-60.362499237060547,102.18017653983728
feat=5_stripe=0,209.43843658447267,425.71795654296875,-9.7164058685302734,100.13882392158152
feat=5_stripe=1,172.47530529022217,330.13201904296875,-86.765625,97.01748172581992
feat=5_stripe=2,189.61773229598998,352.67733764648438,-95.012496948242188,113.26031177827083
feat=5_stripe=3,233.43521095275878,386.95703125,14.9453125,95.524030229754416
feat=5_stripe=4,192.65482792854309,372.72344970703125,6.9312500953674316,97.233191690362744
feat=6_stripe=0,184.76016593933105,361.69766235351562,-158.84843444824219,135.26635866182147
feat=6_stripe=1,274.186844329834,402.37655639648438,-43.21875,95.761472877427508
feat=6_stripe=2,280.80223419189451,374.45858764648438,125.47187805175781,70.054828568615449
feat=6_stripe=3,173.34829641342162,371.14764404296875,-48.104686737060547,102.16486603855724
feat=6_stripe=4,192.74303184509279,369.73672485351562,-4.9914064407348633,90.32306284204094
feat=7_stripe=0,268.2940616607666,394.12655639648438,63.489063262939453,87.819322522163972
feat=7_stripe=1,167.84768857955933,349.65313720703125,-21.992969512939453,90.228445412368885
feat=7_stripe=2,175.01749976158143,376.67498779296875,-6.8421874046325684,106.98378749872066
feat=7_stripe=3,211.53049789428712,359.98748779296875,-60.584373474121094,103.73493178203397
feat=7_stripe=4,178.48753070831299,344.07186889648438,-9.8687496185302734,95.083469772224177
feat=8_stripe=0,140.42322055816649,363.53594970703125,-68.170310974121094,98.049629673033465
feat=8_stripe=1,138.96760277748109,365.27423095703125,-120.796875,103.71435799240101
feat=8_stripe=2,191.10956086635591,369.63827514648438,-34.224220275878906,109.29067937692864
feat=8_stripe=3,165.17629636764525,348.00936889648438,-43.248435974121094,97.848520275401242
feat=8_stripe=4,195.0328605079651,334.71563720703125,-22.3671875,94.768607982587099
feat=9_stripe=0,208.28318651199342,359.57968139648438,-6.9539060592651367,83.900641590471778
feat=9_stripe=1,160.38981204986572,361.75390625,9.1031246185302734,97.359237713739006
feat=9_stripe=2,191.24104557037353,345.07733154296875,-17.640625,87.959191998462686
feat=9_stripe=3,166.94704587936403,387.07342529296875,-7.4515624046325684,99.571020194974736
feat=9_stripe=4,172.35026556015015,350.96484375,-14.518750190734863,98.678378403571671
