Blanked feature,Mean,Max,Min,StdDev
-1,135.42726669311523,315.11407470703125,-129.70077514648438,130.71928749550344
0,116.7390625,281.03750610351562,-96.974998474121094,97.964562525985158
1,342.06265716552736,415.84219360351562,211.58125305175781,62.088461966216684
2,153.79851417541505,271.93515014648438,-2.33203125,81.135806080443814
3,107.2216402053833,220.03750610351562,-35.5234375,78.716286586725673
4,322.86367340087889,395.7421875,138.35000610351562,85.134330735689957
5,208.3385139465332,376.23672485351562,-80.805465698242188,154.46315236955763
6,105.92460975646972,159.17813110351562,-51.948436737060547,59.528678554431139
7,148.88546752929688,340.9609375,-105.46406555175781,113.628669100119
8,184.12398605346681,336.15313720703125,73.852340698242188,98.059652874388561
9,140.24320068359376,207.90312194824219,-149.8671875,98.207827787231253
10,170.89109497070314,255.57499694824219,44.389060974121094,65.343165223848814
11,244.37046813964844,372.97967529296875,97.809371948242188,77.899191808169505
12,164.75820426940919,315.46328735351562,50.524219512939453,98.502364760120429
13,210.3009588241577,375.80938720703125,27.564062118530273,110.91237417128924
14,171.53738098144532,192.35311889648438,121.08125305175781,20.951091598592498
15,33.226095294952394,227.27656555175781,-270.03280639648438,125.21229717505811
16,206.39117355346679,344.46405029296875,48.697654724121094,117.66814585630598
17,313.94406585693361,410.59063720703125,199.50155639648438,75.958490856199276
18,276.55046615600588,392.1875,99.122657775878906,92.081252335921164
19,346.02797088623049,414.82968139648438,193.40312194824219,66.642122448235682
20,232.11648445129396,333.78359985351562,-25.317188262939453,127.31670702101276
21,284.31952819824221,426.9609375,196.8515625,89.974535938114613
22,263.0987518310547,407.04296875,178.04141235351562,81.017467817766089
23,-92.825624465942383,68.689064025878906,-235.71719360351562,92.072252757904806
24,182.8706241607666,353.7890625,60.071094512939453,83.423632279655607
25,227.52765655517578,427.42813110351562,105.68827819824219,92.204539000158618
26,335.28452758789064,387.22811889648438,247.75,36.314438402970204
27,137.68445525169372,200.33125305175781,3.7679686546325684,54.760633921179661
28,306.46585845947266,371.23281860351562,225.50859069824219,55.236426407867746
29,-137.50601348876953,327.39688110351562,-389.27264404296875,269.57947268194607
30,339.94097671508791,453.984375,65.888282775878906,107.8328375446643
31,270.6171117782593,387.02499389648438,13.056249618530273,111.37173465894892
32,341.04398193359373,386.84454345703125,308.98516845703125,27.544889554482396
33,232.03249969482422,373.01406860351562,160.34843444824219,56.967015903883144
34,130.8997657775879,289.90234375,-47.107810974121094,94.362368517001514
35,195.94257812500001,237.34375,146.18046569824219,27.182775098329138
